Jahr;Geschlecht
1956;0
1957;0
1958;0
1959;9,1
1960;0
1961;6,3
1962;0
1963;12,5
1964;6,3
1965;5,6
1966;0
1967;0
1968;0
1969;6,3
1970;8,3
1971;5,6
1972;5,6
1973;5,9
1974;0
1975;15,8
1976;11,1
1977;5,6
1978;10
1979;15,8
1980;10,5
1981;0
1982;11,1
1983;10
1984;10,5
1985;21,1
1986;0
1987;0
1988;4,8
1989;13,6
1990;14,3
1991;4,5
1992;13
1993;0
1994;4
1995;8,7
1996;8,7
1997;20
1998;4
1999;13
2000;4,2
2001;0
2002;25
2003;11,5
2004;8,3
2005;7,7
2006;13,5
2007;9,5
2008;11,6
2009;11,9
2010;7,7
2011;18,6
2012;16,7
2013;10,3
2014;32,4
2015;15
2016;31
2017;12,2
2018;23,3
2019;26,8
